Telugu,English
చెందిన,Belonging to
జిల్లా,District
మండలానికి ,To the zone
పిన్,PIN
మండలంలోని ,In the zone
పురుషుల,Men
సంఖ్య,Number
భారత,Indian
గృహాల,Homes
రెవిన్యూ,Revenue
స్త్రీల ,Women
మొత్తం,The amount
ప్రభుత్వం,Government
నిర్వహించిన ,Held
గణాంకాల ,Statistics
ఈ ,This
ఆంధ్ర ,Andhra
ఒకటి,One
మరియు ,And and
కూడా ,Also
నుండి ,From
ఆ ,That
లో ,In
ఇది ,This is
ఉన్న ,Existing
ప్రకారం ,According to
అనే ,Called
ప్రధాన ,The main
అని ,That is
చాలా ,Very
పేరు ,Name
జనాభా ,Population
తన ,His
గ్రామ ,The village
ఇందులో ,In this
యొక్క ,Of
తెలుగు ,Telugu
గ్రామంలో ,In the village
లోని ,In
నుంచి ,From
ద్వారా ,By
కొన్ని ,Some
రెండు ,Two
వరకు ,Up to
లేదా ,Or
తరువాత ,Afterwards
వారి ,Their
ఇతర ,The other
లెక్కల ,Calculations
చేసిన ,Made
ప్రముఖ ,Famous
జరిగిన ,Happened
వంటి ,Like
అనేక ,Many
మధ్య ,Between
వద్ద ,At
ఇక్కడ ,Here
వారు ,They are
శ్రీ ,Shri
మొదటి ,First
విద్యా ,Education
కోసం ,For
రవాణా ,Transportation
పెద్ద ,Large
ప్రతి ,Every
పేరుతో ,Name
జాతీయ ,National
గా ,As
ఆయన ,He is
పాటు ,In addition
గ్రామము ,The village
అయినా,However
చిన్న ,Short
మీద ,Over
మూడు ,Three
ఆఫ్ ,Off
గురించి ,About
అభివృద్ధి,Development
చేసి ,Done
ప్రదేశ్ ,Bharat
సినిమా ,Movie
మూలాలు ,Roots
అన్ని ,All
మంది ,The people
పై ,On
తర్వాత ,After
అది ,That's it
వివిధ ,Different
గృహాలు ,Homes
దీనిని ,This is
గ్రామానికి ,To the village
మాత్రమే ,Only
ఏంటి,What
వచ్చిన ,Come on
ప్రత్యేక ,Special
సమయంలో ,At the time of
తమ ,Theirs
చరిత్ర ,History
దీని ,This
కోడ్ ,Code